scientific_name	rank
Rhodomonas	genus
Rhodophyllis	genus
Rhoicosphenia	genus
Rhopalodia	genus
Rhynchobodo	genus
Ripistes	genus
Rissoa	genus
Rivularia	genus
Romeria	genus
Roperia	genus
Rossia	genus
Roxania	genus
Ruppia	genus
Rutilus	genus
Sabella	genus
Saccharina	genus
Saccoglossus	genus
Saduria	genus
Sagartia	genus
Sagartiogeton	genus
Sagina	genus
Sagitta	genus
Sagittaria	genus
Sahlingia	genus
Salmo	genus
Salpingella	genus
Salpingoeca	genus
Samytha	genus
Sarcodictyon	genus
Sargassum	genus
Sarmentypnum	genus
Saxicavella	genus
Scalibregma	genus
Scaphander	genus
Scenedesmus	genus
Schistomeringos	genus
Schistomysis	genus
Schizomavella	genus
Schmitzia	genus
Schoenoplectus	genus
Schroederia	genus
Scina	genus
Scirpus	genus
Scleroderma	genus
Sclerodinium	genus
Scolecithricella	genus
Scolelepis	genus
Scoletoma	genus
Scoloplos	genus
Scopelocheirus	genus
Scophthalmus	genus
Scrippsiella	genus
Scrobicularia	genus
Scrupocellaria	genus
Scutopus	genus
Scytosiphon	genus
Sebastes	genus
Securiflustra	genus
Selenastrum	genus
Semibalanus	genus
Sergentia	genus
Serpula	genus
Sertularia	genus
Setodes	genus
Sialis	genus
Sideractis	genus
Sigara	genus
Sige	genus
Silene	genus
Similipecten	genus
Siphonoperla	genus
Skeletonema	genus
Skogsbergia	genus
Slavina	genus
Snowella	genus
Solaster	genus
Solea	genus
Solenicola	genus
Sorgenfreispira	genus
Sosane	genus
Sparganium	genus
Spatangus	genus
Spatulodinium	genus
Spermatochnus	genus
Spermothamnion	genus
Sphacelaria	genus
Sphaceloderma	genus
Sphaerium	genus
Sphaerocystis	genus
Sphaerodoridium	genus
Sphaerodoropsis	genus
Sphaerodorum	genus
Sphaeroma	genus
Sphaerosyllis	genus
Sphaerotrichia	genus
