taxon_name_from	taxon_name_to	Match_type	Match_origin	taxon_id (if not in DynTaxa)	Note
Gymnodinium splendens	Gymnodinium sanguineum	Exact	Dyntaxa		
Gymnodinium vestificii	Kapelodinium vestifici	phonetic	Worms		
Gyptis helgolandica	Podarkeopsis helgolandicus	Exact	Dyntaxa		
Gyptis helgolandica (?)	Gyptis helgolandica	antag felstav			
Halamphora coffeaeformis	Halamphora coffeiformis	Exact	Dyntaxa		
Halcampa chrysanthellum	Halcampa duodecimcirrata	Exact	Dyntaxa		
Haliosiphon tomentosus	Halosiphon tomentosus	antag felstav			
Haliphron atlanticum	Haliphron atlanticus	Exact	Dyntaxa		
Haptophyceae	Coccolithophyceae	Exact	Dyntaxa		
Harmothoe ljungmani	Malmgrenia ljungmani	Exact	Dyntaxa		
Harmothoe longisetis	Harmothoe glabra	Exact	Dyntaxa		
Harmothoe nodosa	Eunoe nodosa	exact	Worms		
Heliocostomella subulata	Helicostomella subulata	antag felstav			
Helminthocladia vermicularis	Mesogloia vermiculata	Exact	Dyntaxa		
Hemilamprops cristata	Hemilamprops cristatus	antag felstav			
Hemilamprops rosea	Hemilamprops roseus	Exact	Dyntaxa		
Heterocapsa arctica ssp. frigida	Heterocapsa arctica subsp. frigida	Exact	Dyntaxa		
Heterochaeta costata	Baltidrilus costatus	Exact	Dyntaxa		
Heterosiphonia japonica	Dasysiphonia japonica	Exact	Dyntaxa		
Hinia incrassata	Tritia incrassata	Exact	Dyntaxa		
Hirudinea	Hirudinida	Exact	Dyntaxa		
Hyale vitrea	Hyala vitrea	antag felstav			
Hydracarina	Hydrachnidiae	Exact	Dyntaxa		
Hydrachnidia	Hydrachnidiae	Exact	Dyntaxa		
Hydrachtinia carnea	Hydractinia carnea	antag felstav			
Hydractinia carnea	Podocoryna carnea	Exact	Dyntaxa		
Hydrobia ulvae	Peringia ulvae	Exact	Dyntaxa		
Hydrobia ventrosa	Ecrobia ventrosa	Exact	Dyntaxa		
Hydrobia/potamopyrgus	Truncatelloidea	antag felstav			
Hydroida	Hydroidolina	Exact	Dyntaxa		
Hydroides norvegicus	Hydroides norvegica	Exact	Dyntaxa		
Hydromedusae	Hydrozoa	antag felstav			
Idothea	Idotea	Exact	Dyntaxa		
Invertebrata	Animalia	Special			
Isoetes	Isoëtes	Exact	Dyntaxa		
Isoetes echinospora	Isoëtes echinospora	Exact	Dyntaxa		
Jassa falcata	Jassa marmorata	OK		243627	
Katablepharis remigera	Kathablepharis remigera	Exact	Dyntaxa		
Kathablepharis	Katablepharis	Exact	Dyntaxa		
Kelliella abyssicola	Kelliella miliaris	OK		249545	
Keratella cochlearis recurvispina	Keratella cochlearis cochlearis	exact	Worms		
Keratella cruciformis eichwaldi	Keratella eichwaldi	exact	Worms		
Keratella crusiformis	Keratella cruciformis	antag felstav			
Kirchneriella contorta	Raphidocelis danubiana	exact	Worms		
Kofoidinium velelloides	Kofoidinium velleloides	Exact	Dyntaxa		
Labidoplax buski	Labidoplax buskii	Exact	Dyntaxa		
